"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2018","24,285.95","25,392.61","25,392.61","24,268.74","1.25B","-4.44%"
"11/11/2018","25,413.22","25,959.33","25,966.71","24,787.79","1.82B","-2.22%"
"11/04/2018","25,989.30","25,261.47","26,277.82","25,261.47","1.58B","2.84%"
"10/28/2018","25,270.83","24,818.98","25,578.98","24,122.23","2.18B","2.36%"
"10/21/2018","24,688.31","25,492.14","25,561.34","24,445.19","2.19B","-2.97%"
"10/14/2018","25,444.34","25,332.46","25,817.68","25,236.01","1.57B","0.41%"
"10/07/2018","25,339.99","26,399.45","26,539.94","24,899.77","1.91B","-4.19%"
"09/30/2018","26,447.05","26,598.36","26,951.81","26,301.81","1.33B","-0.04%"
"09/23/2018","26,458.31","26,705.25","26,709.94","26,349.34","1.24B","-1.07%"
"09/16/2018","26,743.50","26,151.66","26,769.16","26,030.35","1.64B","2.25%"
"09/09/2018","26,154.67","25,991.91","26,211.11","25,754.32","1.29B","0.92%"
"09/02/2018","25,916.54","25,916.07","26,073.68","25,805.95","1.09B","-0.19%"
"08/26/2018","25,964.82","25,882.71","26,167.94","25,879.77","1.16B","0.68%"
"08/19/2018","25,790.35","25,727.70","25,888.82","25,608.02","1.10B","0.47%"
"08/12/2018","25,669.32","25,327.19","25,728.16","24,965.77","1.36B","1.41%"
"08/05/2018","25,313.14","25,437.43","25,692.72","25,222.88","1.15B","-0.59%"
"07/29/2018","25,462.58","25,439.32","25,500.16","25,120.07","1.51B","0.05%"
"07/22/2018","25,451.06","25,036.90","25,587.24","24,983.33","1.40B","1.57%"
"07/15/2018","25,058.12","25,025.58","25,215.32","24,979.64","1.29B","0.15%"
"07/08/2018","25,019.41","24,519.20","25,043.21","24,518.43","1.20B","2.30%"
"07/01/2018","24,456.48","24,161.53","24,520.29","24,077.56","862.18M","0.76%"
"06/24/2018","24,271.41","24,463.73","24,569.02","23,997.21","1.69B","-1.26%"
"06/17/2018","24,580.89","24,944.28","25,003.10","24,406.63","1.90B","-2.03%"
"06/10/2018","25,090.48","25,336.67","25,402.83","24,894.38","1.87B","-0.89%"
"06/03/2018","25,316.53","24,727.55","25,326.09","24,710.82","1.64B","2.77%"
"05/27/2018","24,635.21","24,606.59","24,714.48","24,247.84","1.47B","-0.48%"
"05/20/2018","24,753.09","24,883.06","25,086.49","24,605.90","1.60B","0.15%"
"05/13/2018","24,715.09","24,879.37","24,994.19","24,629.39","1.45B","-0.47%"
"05/06/2018","24,831.17","24,317.66","24,868.65","24,198.34","1.59B","2.34%"
"04/29/2018","24,262.51","24,410.41","24,498.23","23,531.31","1.90B","-0.20%"
"04/22/2018","24,311.19","24,488.07","24,579.94","23,823.08","2.04B","-0.62%"
"04/15/2018","24,462.94","24,483.15","24,858.97","24,375.04","1.87B","0.42%"
"04/08/2018","24,360.14","24,037.52","24,646.45","23,954.83","1.70B","1.79%"
"04/01/2018","23,932.76","24,076.60","24,622.26","23,344.52","2.04B","-0.71%"
"03/25/2018","24,103.11","23,825.74","24,446.22","23,708.73","2.00B","2.42%"
"03/18/2018","23,533.20","24,893.69","24,977.65","23,509.06","1.99B","-5.67%"
"03/11/2018","24,946.51","25,372.44","25,449.15","24,668.83","2.14B","-1.54%"
"03/04/2018","25,335.74","24,471.31","25,336.33","24,387.15","1.81B","3.25%"
"02/25/2018","24,538.06","25,403.35","25,800.35","24,217.76","2.31B","-3.05%"
"02/18/2018","25,309.99","25,124.91","25,313.91","24,792.99","1.59B","0.36%"
"02/11/2018","25,219.38","24,337.76","25,432.42","24,290.48","2.13B","4.25%"
"02/04/2018","24,190.90","25,337.87","25,520.53","23,360.29","3.44B","-5.21%"
"01/28/2018","25,520.96","26,584.28","26,608.90","25,490.66","2.28B","-4.12%"
"01/21/2018","26,616.71","26,025.32","26,616.71","25,974.65","2.26B","2.09%"
"01/14/2018","26,071.72","25,987.62","26,153.42","25,702.99","2.21B","1.04%"
"01/07/2018","25,803.19","25,308.40","25,810.43","25,235.41","1.74B","2.01%"
"12/31/2017","25,295.87","24,809.35","25,299.79","24,741.70","1.56B","2.33%"
"12/24/2017","24,719.22","24,715.84","24,871.66","24,708.42","905.90M","-0.14%"
"12/17/2017","24,754.06","24,739.56","24,876.07","24,697.11","1.63B","0.42%"
"12/10/2017","24,651.74","24,338.11","24,688.62","24,314.74","1.92B","1.33%"
"12/03/2017","24,329.16","24,424.11","24,534.04","24,101.24","1.72B","0.40%"
"11/26/2017","24,231.59","23,552.86","24,327.82","23,545.02","1.92B","2.86%"
"11/19/2017","23,557.99","23,370.71","23,617.80","23,360.58","1.03B","0.86%"
"11/12/2017","23,358.24","23,367.47","23,492.19","23,242.75","2.24B","-0.27%"
"11/05/2017","23,422.21","23,533.96","23,602.12","23,310.02","1.53B","-0.50%"
"10/29/2017","23,539.19","23,405.75","23,557.06","23,327.87","1.85B","0.45%"
"10/22/2017","23,434.19","23,348.95","23,485.25","23,251.11","2.15B","0.45%"
"10/15/2017","23,328.63","22,892.92","23,328.84","22,887.12","1.62B","2.00%"
"10/08/2017","22,871.72","22,779.73","22,905.33","22,739.38","1.50B","0.43%"
"10/01/2017","22,773.67","22,423.47","22,777.04","22,416.00","1.21B","1.65%"
"09/24/2017","22,405.09","22,320.47","22,405.63","22,219.11","1.50B","0.25%"
"09/17/2017","22,349.59","22,297.92","22,419.51","22,283.35","1.52B","0.36%"
"09/10/2017","22,268.34","21,927.79","22,275.02","21,927.79","1.79B","2.16%"
"09/03/2017","21,797.79","21,912.37","21,921.09","21,709.63","1.27B","-0.86%"
"08/27/2017","21,987.56","21,832.50","22,038.97","21,673.58","1.32B","0.80%"
"08/20/2017","21,813.67","21,671.36","21,912.83","21,600.34","1.20B","0.64%"
"08/13/2017","21,674.51","21,945.64","22,085.71","21,641.63","1.39B","-0.84%"
"08/06/2017","21,858.32","22,100.20","22,179.11","21,842.74","1.29B","-1.06%"
"07/30/2017","22,092.81","21,863.39","22,092.81","21,861.71","1.51B","1.20%"
"07/23/2017","21,830.31","21,577.78","21,841.18","21,496.13","1.56B","1.16%"
"07/16/2017","21,580.07","21,633.97","21,661.91","21,471.14","1.43B","-0.27%"
"07/09/2017","21,637.74","21,381.23","21,681.53","21,279.30","1.25B","1.04%"
"07/02/2017","21,414.34","21,392.30","21,562.75","21,305.38","1.02B","0.30%"
"06/25/2017","21,349.63","21,434.68","21,506.21","21,197.08","1.46B","-0.21%"
"06/18/2017","21,394.76","21,444.75","21,535.03","21,333.89","1.53B","0.05%"
"06/11/2017","21,384.28","21,259.95","21,391.97","21,186.15","2.07B","0.53%"
"06/04/2017","21,271.97","21,195.03","21,305.35","21,113.31","1.55B","0.31%"
"05/28/2017","21,206.29","21,045.49","21,225.04","20,942.57","1.22B","0.60%"
"05/21/2017","21,080.28","20,867.77","21,112.32","20,860.16","1.28B","1.32%"
"05/14/2017","20,804.84","20,923.63","21,033.53","20,553.45","1.84B","-0.44%"
"05/07/2017","20,896.61","20,991.26","21,046.85","20,798.90","1.41B","-0.53%"
"04/30/2017","21,006.94","20,962.73","21,006.94","20,847.95","1.47B","0.32%"
"04/23/2017","20,940.51","20,723.59","21,070.90","20,723.59","1.65B","1.91%"
"04/16/2017","20,547.76","20,484.75","20,644.41","20,379.55","1.47B","0.46%"
"04/09/2017","20,453.25","20,668.22","20,750.33","20,453.25","989.08M","-0.98%"
"04/02/2017","20,656.10","20,665.17","20,887.50","20,517.82","1.28B","-0.03%"
"03/26/2017","20,663.22","20,488.35","20,753.78","20,412.80","1.38B","0.32%"
"03/19/2017","20,596.72","20,916.27","20,970.04","20,529.67","1.52B","-1.52%"
"03/12/2017","20,914.62","20,899.28","21,000.11","20,786.31","1.64B","0.06%"
"03/05/2017","20,902.98","20,955.71","20,986.43","20,777.16","1.43B","-0.49%"
"02/26/2017","21,005.71","20,808.71","21,169.11","20,774.76","1.56B","0.88%"
"02/19/2017","20,821.76","20,663.43","20,840.70","20,663.37","1.24B","0.96%"
"02/12/2017","20,624.05","20,338.54","20,639.87","20,322.95","1.75B","1.75%"
"02/05/2017","20,269.37","20,025.61","20,298.21","20,002.81","1.48B","0.99%"
"01/29/2017","20,071.46","20,028.62","20,081.48","19,784.77","1.81B","-0.11%"
"01/22/2017","20,093.78","19,794.79","20,125.58","19,732.36","1.77B","1.34%"
"01/15/2017","19,827.25","19,848.82","19,882.99","19,677.94","1.36B","-0.29%"
"01/08/2017","19,885.73","19,931.41","19,973.42","19,770.47","1.49B","-0.39%"
"01/01/2017","19,963.80","19,872.86","19,999.63","19,775.93","1.17B","1.02%"
"12/25/2016","19,762.60","19,943.46","19,981.11","19,718.67","790.84M","-0.86%"
"12/18/2016","19,933.81","19,836.66","19,987.63","19,832.95","1.26B","0.46%"
"12/11/2016","19,843.41","19,770.20","19,966.43","19,747.74","2.06B","0.44%"
"12/04/2016","19,756.85","19,244.35","19,757.74","19,184.74","1.65B","3.06%"
"11/27/2016","19,170.42","19,122.14","19,225.29","19,062.22","528.27M","0.10%"
"11/20/2016","19,152.14","18,898.68","19,152.14","18,883.10","289.60M","1.51%"
"11/13/2016","18,867.93","18,876.77","18,934.05","18,806.06","500.04M","0.11%"
"11/06/2016","18,847.66","17,994.64","18,873.66","17,994.64","618.07M","5.36%"
"10/30/2016","17,888.28","18,176.60","18,193.68","17,883.56","475.59M","-1.50%"
"10/23/2016","18,161.19","18,197.14","18,275.04","18,062.30","449.46M","0.09%"
